ID	Gene EFW ID	Gene	contig	start	stop
gene	EFW9900021681	Similar to At1g19860: Zinc finger CCCH domain-containing protein 6 (Arabidopsis thaliana OX%3D3702)	contig1	781143	785645
gene	EFW9900021682	Similar to vip1: Protein vip1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812)	contig1	787844	791645
gene	EFW9900021683	Similar to At1g19430: Probable methyltransferase PMT28 (Arabidopsis thaliana OX%3D3702)	contig1	800916	803045
gene	EFW9900021684	Similar to ARF5: Auxin response factor 5 (Arabidopsis thaliana OX%3D3702)	contig1	810834	816534
gene	EFW9900021685	Protein of unknown function	contig1	864806	865690
gene	EFW9900021686	Similar to Auxin-induced protein 6B (Glycine max OX%3D3847)	contig1	886259	886648
gene	EFW9900021687	Similar to FPP4: Filament-like plant protein 4 (Arabidopsis thaliana OX%3D3702)	contig1	941182	947465
gene	EFW9900021688	Similar to SAUR50: Auxin-responsive protein SAUR50 (Arabidopsis thaliana OX%3D3702)	contig1	965268	966156
gene	EFW9900021689	Protein of unknown function	contig1	978875	980078
gene	EFW9900021690	Protein of unknown function	contig1	983490	986095
gene	EFW9900021691	Similar to APS2: ATP sulfurylase 2 (Arabidopsis thaliana OX%3D3702)	contig1	996082	999336
gene	EFW9900021692	Similar to LOG1: Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG1 (Arabidopsis thaliana OX%3D3702)	contig1	1019788	1022082
gene	EFW9900021693	Similar to UBC37: Probable ubiquitin-conjugating enzyme E2 37 (Arabidopsis thaliana OX%3D3702)	contig1	1035501	1036046
gene	EFW9900021694	Similar to SPA: Protein SPA%2C chloroplastic (Solanum lycopersicum OX%3D4081)	contig1	1060325	1062146
gene	EFW9900021695	Similar to HVA22I: HVA22-like protein i (Arabidopsis thaliana OX%3D3702)	contig1	1072169	1075238
gene	EFW9900021696	Similar to E2FC: Transcription factor E2FC (Arabidopsis thaliana OX%3D3702)	contig1	1078589	1082906
gene	EFW9900021697	Protein of unknown function	contig1	1105352	1108193
gene	EFW9900021698	Similar to MADS5: MADS-box transcription factor 5 (Oryza sativa subsp. japonica OX%3D39947)	contig1	1118857	1128434
gene	EFW9900021699	Protein of unknown function	contig1	1153555	1153803
gene	EFW9900021700	Similar to At1g75720: WEB family protein At1g75720 (Arabidopsis thaliana OX%3D3702)	contig1	1156591	1159963
gene	EFW9900021701	Similar to HXK2: Hexokinase-2%2C chloroplastic (Nicotiana tabacum OX%3D4097)	contig1	1169622	1173122
gene	EFW9900021702	Protein of unknown function	contig1	1174240	1176204
gene	EFW9900021703	Protein of unknown function	contig1	1179838	1186323
gene	EFW9900021704	Similar to gpmA: 2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase (Protochlamydia amoebophila (strain UWE25) OX%3D264201)	contig1	1191548	1194882
gene	EFW9900021705	Similar to DFC: Protein DOWNSTREAM OF FLC (Arabidopsis thaliana OX%3D3702)	contig1	1202622	1204127
gene	EFW9900021706	Similar to exgA: Glucan 1%2C3-beta-glucosidase A (Aspergillus oryzae (strain ATCC 42149 / RIB 40) OX%3D510516)	contig1	1215674	1218197
gene	EFW9900021707	Similar to FLZ6: FCS-Like Zinc finger 6 (Arabidopsis thaliana OX%3D3702)	contig1	1224093	1224747
gene	EFW9900021708	Protein of unknown function	contig1	1242223	1242880
gene	EFW9900021709	Similar to ACC1: Acetyl-CoA carboxylase 1 (Arabidopsis thaliana OX%3D3702)	contig1	1248336	1261495
gene	EFW9900021710	Similar to SULTR1%3B3: Sulfate transporter 1.3 (Arabidopsis thaliana OX%3D3702)	contig1	1264940	1270960
gene	EFW9900021711	Similar to ST3: Low affinity sulfate transporter 3 (Stylosanthes hamata OX%3D37660)	contig1	1288627	1296006
gene	EFW9900013943	Protein of unknown function	contig1006	39100	40690
gene	EFW9900013944	Similar to PGMP: Phosphoglucomutase%2C chloroplastic (Arabidopsis thaliana OX%3D3702)	contig1006	61755	67548
gene	EFW9900013945	Similar to MADS6: MADS-box transcription factor 6 (Oryza sativa subsp. japonica OX%3D39947)	contig1006	215778	218691
gene	EFW9900013946	Similar to At5g51830: Probable fructokinase-7 (Arabidopsis thaliana OX%3D3702)	contig1006	385498	389126
gene	EFW9900013947	Protein of unknown function	contig1006	418326	421501
gene	EFW9900013948	Protein of unknown function	contig1006	541477	544963
gene	EFW9900013949	Similar to AGL42: MADS-box protein AGL42 (Arabidopsis thaliana OX%3D3702)	contig1006	580887	583804
gene	EFW9900013950	Similar to AGL42: MADS-box protein AGL42 (Arabidopsis thaliana OX%3D3702)	contig1006	605345	611142
gene	EFW9900013951	Protein of unknown function	contig1006	612860	618364
gene	EFW9900013952	Protein of unknown function	contig1006	681017	685527
gene	EFW9900013953	Similar to PER66: Peroxidase 66 (Arabidopsis thaliana OX%3D3702)	contig1006	687013	688438
gene	EFW9900013954	Protein of unknown function	contig1006	690534	691333
gene	EFW9900013955	Similar to TCP9: Transcription factor TCP9 (Arabidopsis thaliana OX%3D3702)	contig1006	716075	717823
gene	EFW9900013956	Protein of unknown function	contig1006	729488	845414
gene	EFW9900013957	Similar to PCMP-E45: Pentatricopeptide repeat-containing protein At4g38010 (Arabidopsis thaliana OX%3D3702)	contig1006	844179	846465
gene	EFW9900013958	Similar to ABA3: Molybdenum cofactor sulfurase (Arabidopsis thaliana OX%3D3702)	contig1006	845643	847598
gene	EFW9900013959	Protein of unknown function	contig1006	860601	873561
gene	EFW9900013960	Similar to P58IPK: DnaJ protein P58IPK homolog (Arabidopsis thaliana OX%3D3702)	contig1006	876104	876874
gene	EFW9900013961	Similar to HTH: Protein HOTHEAD (Arabidopsis thaliana OX%3D3702)	contig1006	1538481	1540046
gene	EFW9900013962	Similar to HTH: Protein HOTHEAD (Arabidopsis thaliana OX%3D3702)	contig1006	1674513	1687194
gene	EFW9900013963	Protein of unknown function	contig1006	1827877	1828245
gene	EFW9900013964	Protein of unknown function	contig1006	1865375	1866212
gene	EFW9900013965	Similar to VIT_16s0100g00290: L-idonate 5-dehydrogenase (Vitis vinifera OX%3D29760)	contig1006	1866319	1867993
gene	EFW9900013966	Similar to SDH: Sorbitol dehydrogenase (Arabidopsis thaliana OX%3D3702)	contig1006	1889197	1892053
gene	EFW9900013967	Similar to ZFWD1: Zinc finger CCCH domain-containing protein 48 (Arabidopsis thaliana OX%3D3702)	contig1006	1908567	1912578
gene	EFW9900013968	Protein of unknown function	contig1006	1912721	1916500
gene	EFW9900013969	Protein of unknown function	contig1006	1965681	1966432
gene	EFW9900013970	Similar to MIK2: MDIS1-interacting receptor like kinase 2 (Arabidopsis thaliana OX%3D3702)	contig1006	1974355	1975863
gene	EFW9900013971	Similar to MIK2: MDIS1-interacting receptor like kinase 2 (Arabidopsis thaliana OX%3D3702)	contig1006	1976758	1978595
gene	EFW9900013972	Protein of unknown function	contig1006	1978420	1981521
gene	EFW9900013973	Similar to DREB1D: Dehydration-responsive element-binding protein 1D (Arabidopsis thaliana OX%3D3702)	contig1006	2001276	2001933
gene	EFW9900013974	Protein of unknown function	contig1006	2169577	2171472
gene	EFW9900013975	Similar to ERF025: Ethylene-responsive transcription factor ERF025 (Arabidopsis thaliana OX%3D3702)	contig1006	2184864	2185640
gene	EFW9900013976	Protein of unknown function	contig1006	2195299	2207887
gene	EFW9900013977	Similar to Trabd: TraB domain-containing protein (Mus musculus OX%3D10090)	contig1006	2346002	2350486
gene	EFW9900013978	Protein of unknown function	contig1006	2384788	2386613
gene	EFW9900013979	Similar to LBD24: LOB domain-containing protein 24 (Arabidopsis thaliana OX%3D3702)	contig1006	2387778	2388142
gene	EFW9900013980	Similar to psbB: Photosystem II CP47 reaction center protein (Piper cenocladum OX%3D398741)	contig1006	2420747	2464829
gene	EFW9900013981	Protein of unknown function	contig1006	2420751	2424235
gene	EFW9900013982	Protein of unknown function	contig1006	2466198	2547360
gene	EFW9900013983	Similar to APUM4: Pumilio homolog 4 (Arabidopsis thaliana OX%3D3702)	contig1006	2547453	2549052
gene	EFW9900027309	Similar to THI2: Thionin (Brassica rapa subsp. pekinensis OX%3D51351)	contig101	9519	10594
gene	EFW9900027310	Similar to THI2: Thionin (Brassica rapa subsp. pekinensis OX%3D51351)	contig101	139684	140730
gene	EFW9900027311	Similar to THI2: Thionin (Brassica rapa subsp. pekinensis OX%3D51351)	contig101	217428	218490
gene	EFW9900024612	Similar to MSH3: DNA mismatch repair protein MSH3 (Arabidopsis thaliana OX%3D3702)	contig1010	22481	28573
gene	EFW9900024613	Similar to RUP2: WD repeat-containing protein RUP2 (Arabidopsis thaliana OX%3D3702)	contig1010	96269	97432
gene	EFW9900024614	Protein of unknown function	contig1010	182448	183295
gene	EFW9900024615	Similar to CFIS2: Pre-mRNA cleavage factor Im 25 kDa subunit 2 (Arabidopsis thaliana OX%3D3702)	contig1010	244211	247444
gene	EFW9900024616	Similar to LAF1: Transcription factor LAF1 (Arabidopsis thaliana OX%3D3702)	contig1010	332379	335555
gene	EFW9900024617	Similar to SEC22: 25.3 kDa vesicle transport protein (Arabidopsis thaliana OX%3D3702)	contig1010	367662	368934
gene	EFW9900024618	Similar to MYB17: Transcription factor MYB41 (Arabidopsis thaliana OX%3D3702)	contig1010	390078	391844
gene	EFW9900024619	Similar to Remorin (Solanum tuberosum OX%3D4113)	contig1010	398716	401127
gene	EFW9900024620	Similar to PDS5: Sister chromatid cohesion protein PDS5 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX%3D559292)	contig1010	423544	424030
gene	EFW9900024621	Similar to KINUB: Kinesin-like protein KIN-UB (Arabidopsis thaliana OX%3D3702)	contig1010	425084	425636
gene	EFW9900024622	Protein of unknown function	contig1010	446019	461569
gene	EFW9900024623	Similar to CYB561A: Transmembrane ascorbate ferrireductase 1 (Arabidopsis thaliana OX%3D3702)	contig1010	473663	482108
gene	EFW9900024624	Protein of unknown function	contig1010	541146	545107
gene	EFW9900024625	Similar to SHOC1: Protein SHORTAGE IN CHIASMATA 1 (Arabidopsis thaliana OX%3D3702)	contig1010	545168	551526
gene	EFW9900024626	Similar to LTI65: Low-temperature-induced 65 kDa protein (Arabidopsis thaliana OX%3D3702)	contig1010	562165	565204
gene	EFW9900024627	Protein of unknown function	contig1010	591931	592356
gene	EFW9900024628	Similar to At1g55630: Pentatricopeptide repeat-containing protein At1g55630 (Arabidopsis thaliana OX%3D3702)	contig1010	610213	611520
gene	EFW9900024629	Similar to HIPP39: Heavy metal-associated isoprenylated plant protein 39 (Arabidopsis thaliana OX%3D3702)	contig1010	614480	615825
gene	EFW9900024630	Similar to HIPP31: Heavy metal-associated isoprenylated plant protein 31 (Arabidopsis thaliana OX%3D3702)	contig1010	673854	674162
gene	EFW9900024631	Similar to ARR2: Two-component response regulator ARR2 (Arabidopsis thaliana OX%3D3702)	contig1010	744047	749534
gene	EFW9900024632	Similar to CPIJ013394: O-glucosyltransferase rumi homolog (Culex quinquefasciatus OX%3D7176)	contig1010	796151	805466
gene	EFW9900024633	Similar to CPIJ013394: O-glucosyltransferase rumi homolog (Culex quinquefasciatus OX%3D7176)	contig1010	833831	844252
gene	EFW9900024634	Similar to DCI1: Delta(3%2C5)-Delta(2%2C4)-dienoyl-CoA isomerase%2C peroxisomal (Arabidopsis thaliana OX%3D3702)	contig1010	847674	849538
gene	EFW9900024635	Similar to POGLUT1: Protein O-glucosyltransferase 1 (Bos taurus OX%3D9913)	contig1010	878348	885231
gene	EFW9900024636	Similar to POGLUT1: Protein O-glucosyltransferase 1 (Bos taurus OX%3D9913)	contig1012	604	12359
gene	EFW9900024637	Protein of unknown function	contig1012	31011	34106
gene	EFW9900024638	Similar to POGLUT1: Protein O-glucosyltransferase 1 (Bos taurus OX%3D9913)	contig1012	48617	54844
gene	EFW9900024639	Similar to TH1: Thiamine biosynthetic bifunctional enzyme TH1%2C chloroplastic (Arabidopsis thaliana OX%3D3702)	contig1012	78745	79543
gene	EFW9900024640	Similar to CPIJ013394: O-glucosyltransferase rumi homolog (Culex quinquefasciatus OX%3D7176)	contig1012	91027	95092
gene	EFW9900024641	Similar to ADF7: Actin-depolymerizing factor 7 (Arabidopsis thaliana OX%3D3702)	contig1012	126466	136002
gene	EFW9900024642	Similar to At1g65750: Putative ribonuclease H protein At1g65750 (Arabidopsis thaliana OX%3D3702)	contig1012	186431	187792
gene	EFW9900024643	Similar to TUBB8: Tubulin beta-8 chain (Arabidopsis thaliana OX%3D3702)	contig1012	190625	192400
gene	EFW9900024644	Protein of unknown function	contig1012	279936	281366
gene	EFW9900024645	Protein of unknown function	contig1012	288609	290591
gene	EFW9900024646	Similar to POLR3C: DNA-directed RNA polymerase III subunit RPC3 (Bos taurus OX%3D9913)	contig1012	319589	325743
gene	EFW9900024647	Similar to CYP734A6: Cytochrome P450 734A6 (Oryza sativa subsp. japonica OX%3D39947)	contig1012	342304	344773
gene	EFW9900024648	Similar to CYP734A1: Cytochrome P450 734A1 (Arabidopsis thaliana OX%3D3702)	contig1012	532966	535580
gene	EFW9900024649	Similar to Exosc7: Exosome complex exonuclease RRP42 (Mus musculus OX%3D10090)	contig1012	543337	546467
gene	EFW9900024650	Similar to TPP2: Tripeptidyl-peptidase 2 (Arabidopsis thaliana OX%3D3702)	contig1012	567804	584492
gene	EFW9900024651	Similar to PAE9: Pectin acetylesterase 9 (Arabidopsis thaliana OX%3D3702)	contig1012	596200	604673
gene	EFW9900024652	Similar to SPPL1: Signal peptide peptidase-like 1 (Arabidopsis thaliana OX%3D3702)	contig1012	640769	653019
gene	EFW9900024653	Protein of unknown function	contig1012	661568	664002
gene	EFW9900024654	Protein of unknown function	contig1012	671711	676803
gene	EFW9900024655	Similar to P4H12: Probable prolyl 4-hydroxylase 12 (Arabidopsis thaliana OX%3D3702)	contig1012	720337	726122
gene	EFW9900024656	Protein of unknown function	contig1012	726342	726551
gene	EFW9900024657	Similar to KIN10C: Kinesin-like protein KIN-10C (Arabidopsis thaliana OX%3D3702)	contig1012	751578	755968
gene	EFW9900024658	Similar to At3g49055: Uncharacterized protein At3g49055 (Arabidopsis thaliana OX%3D3702)	contig1012	756002	758155
gene	EFW9900024659	Protein of unknown function	contig1012	758931	764479
gene	EFW9900024660	Similar to APC5: Anaphase-promoting complex subunit 5 (Arabidopsis thaliana OX%3D3702)	contig1012	764287	775546
gene	EFW9900024661	Similar to PUB32: U-box domain-containing protein 32 (Arabidopsis thaliana OX%3D3702)	contig1012	809362	820253
gene	EFW9900024662	Protein of unknown function	contig1012	822619	823845
gene	EFW9900024663	Similar to At3g28330: F-box protein At3g28330 (Arabidopsis thaliana OX%3D3702)	contig1012	824606	828020
gene	EFW9900024664	Protein of unknown function	contig1012	830146	832925
gene	EFW9900024665	Protein of unknown function	contig1012	832945	833865
gene	EFW9900024666	Protein of unknown function	contig1012	876328	881907
gene	EFW9900024667	Protein of unknown function	contig1012	882581	883484
gene	EFW9900024668	Similar to ASK20: SKP1-like protein 20 (Arabidopsis thaliana OX%3D3702)	contig1012	883782	889281
gene	EFW9900027610	Similar to YDA: Mitogen-activated protein kinase kinase kinase YODA (Arabidopsis thaliana OX%3D3702)	contig1015	20	3679
gene	EFW9900007691	Similar to PCO4: Plant cysteine oxidase 4 (Arabidopsis thaliana OX%3D3702)	contig1019	24935	30952
gene	EFW9900007692	Similar to MBF1B: Multiprotein-bridging factor 1b (Arabidopsis thaliana OX%3D3702)	contig1019	35931	38881
gene	EFW9900007693	Similar to At2g42690: Phospholipase A1-IIdelta (Arabidopsis thaliana OX%3D3702)	contig1019	39440	41826
gene	EFW9900007694	Protein of unknown function	contig1019	39834	40574
gene	EFW9900007695	Similar to RL1: Protein RADIALIS-like 1 (Arabidopsis thaliana OX%3D3702)	contig1019	70114	71485
gene	EFW9900007696	Similar to At2g42690: Phospholipase A1-IIdelta (Arabidopsis thaliana OX%3D3702)	contig1019	91332	92591
gene	EFW9900007697	Similar to rplA: 50S ribosomal protein L1 (Parvibaculum lavamentivorans (strain DS-1 / DSM 13023 / NCIMB 13966) OX%3D402881)	contig1019	101390	105008
gene	EFW9900007698	Similar to PBL21: Probable serine/threonine-protein kinase PBL21 (Arabidopsis thaliana OX%3D3702)	contig1019	119310	122894
gene	EFW9900007699	Protein of unknown function	contig1019	125742	131920
gene	EFW9900007700	Similar to Peroxidase (Fragment) (Lupinus polyphyllus OX%3D3874)	contig1019	145568	149008
gene	EFW9900007701	Similar to Peroxidase (Fragment) (Lupinus polyphyllus OX%3D3874)	contig1019	165981	170800
gene	EFW9900007702	Similar to ASK6: Shaggy-related protein kinase zeta (Arabidopsis thaliana OX%3D3702)	contig1019	180012	184918
gene	EFW9900007703	Similar to ASP1: Aspartate aminotransferase%2C mitochondrial (Arabidopsis thaliana OX%3D3702)	contig1019	185000	189935
gene	EFW9900007704	Similar to RPL11: 60S ribosomal protein L11 (Medicago sativa OX%3D3879)	contig1019	214345	218095
gene	EFW9900007705	Protein of unknown function	contig1019	217452	219043
gene	EFW9900007706	Similar to DJC76: Chaperone protein dnaJ C76%2C chloroplastic (Arabidopsis thaliana OX%3D3702)	contig1019	222151	227064
gene	EFW9900007707	Protein of unknown function	contig1019	235992	236858
gene	EFW9900007708	Similar to DNAJB12: DnaJ homolog subfamily B member 12 (Bos taurus OX%3D9913)	contig1019	243132	247250
gene	EFW9900007709	Similar to ncm: Pre-mRNA-splicing factor CWC22 homolog (Drosophila melanogaster OX%3D7227)	contig1019	251483	255716
gene	EFW9900007710	Similar to WRKY69: Probable WRKY transcription factor 69 (Arabidopsis thaliana OX%3D3702)	contig1019	280789	283186
gene	EFW9900007711	Similar to RAB11D: Ras-related protein Rab11D (Lotus japonicus OX%3D34305)	contig1019	283347	290429
gene	EFW9900007712	Similar to Cysteine proteinase inhibitor (Vigna unguiculata OX%3D3917)	contig1019	306436	307678
gene	EFW9900007713	Similar to TPS7: Probable alpha%2Calpha-trehalose-phosphate synthase [UDP-forming] 7 (Arabidopsis thaliana OX%3D3702)	contig1019	322715	326899
gene	EFW9900007714	Similar to PCMP-H29: Pentatricopeptide repeat-containing protein At2g41080 (Arabidopsis thaliana OX%3D3702)	contig1019	327914	333802
gene	EFW9900007715	Similar to FTSH2: ATP-dependent zinc metalloprotease FTSH 2%2C chloroplastic (Oryza sativa subsp. japonica OX%3D39947)	contig1019	334398	338368
gene	EFW9900007716	Protein of unknown function	contig1019	368735	369862
gene	EFW9900007717	Protein of unknown function	contig1019	378677	382803
gene	EFW9900007718	Protein of unknown function	contig1019	389492	389818
gene	EFW9900007719	Similar to RING1: E3 ubiquitin-protein ligase RING1 (Gossypium hirsutum OX%3D3635)	contig1019	400426	401812
gene	EFW9900007720	Similar to mpv17: Protein Mpv17 (Danio rerio OX%3D7955)	contig1019	415978	419723
gene	EFW9900007721	Similar to rexo4: RNA exonuclease 4 (Xenopus laevis OX%3D8355)	contig1019	428181	429829
gene	EFW9900007722	Similar to KLCR2: Protein KINESIN LIGHT CHAIN-RELATED 2 (Arabidopsis thaliana OX%3D3702)	contig1019	479045	482494
gene	EFW9900007723	Similar to At5g14450: GDSL esterase/lipase At5g14450 (Arabidopsis thaliana OX%3D3702)	contig1019	493993	496341
gene	EFW9900007724	Similar to AO: L-aspartate oxidase%2C chloroplastic (Arabidopsis thaliana OX%3D3702)	contig1019	501368	505713
gene	EFW9900007725	Protein of unknown function	contig1019	515808	520106
gene	EFW9900007726	Similar to DEGP1: Protease Do-like 1%2C chloroplastic (Arabidopsis thaliana OX%3D3702)	contig1019	527322	530881
gene	EFW9900007727	Similar to LSF1: Phosphoglucan phosphatase LSF1%2C chloroplastic (Arabidopsis thaliana OX%3D3702)	contig1019	548839	558975
gene	EFW9900007728	Protein of unknown function	contig1019	587404	588288
gene	EFW9900007729	Similar to ALA8: Probable phospholipid-transporting ATPase 8 (Arabidopsis thaliana OX%3D3702)	contig1019	619476	625785
gene	EFW9900007730	Similar to fray2: Serine/threonine-protein kinase fray2 (Dictyostelium discoideum OX%3D44689)	contig1019	656543	665549
gene	EFW9900007731	Similar to SNL6: Cinnamoyl-CoA reductase-like SNL6 (Oryza sativa subsp. japonica OX%3D39947)	contig1019	694497	697935
gene	EFW9900007732	Protein of unknown function	contig1019	727549	728085
gene	EFW9900007733	Similar to At3g01520: Universal stress protein A-like protein (Arabidopsis thaliana OX%3D3702)	contig1019	744334	747342
gene	EFW9900007734	Similar to psbA: Photosystem II protein D1 (Vigna unguiculata OX%3D3917)	contig1019	747419	749694
gene	EFW9900007735	Similar to RPL12C: 50S ribosomal protein L12-3%2C chloroplastic (Arabidopsis thaliana OX%3D3702)	contig1019	750508	751092
gene	EFW9900007736	Similar to MDAR4: Monodehydroascorbate reductase 4%2C peroxisomal (Arabidopsis thaliana OX%3D3702)	contig1019	751624	755465
gene	EFW9900007737	Similar to MYB21: Transcription factor MYB21 (Arabidopsis thaliana OX%3D3702)	contig1019	776979	780474
gene	EFW9900007738	Similar to ufd1: Ubiquitin fusion degradation protein 1 homolog (Dictyostelium discoideum OX%3D44689)	contig1019	781027	782759
gene	EFW9900007739	Similar to ARF: ADP-ribosylation factor (Vigna unguiculata OX%3D3917)	contig1019	789780	793773
gene	EFW9900007740	Similar to PDF1B: Peptide deformylase 1B%2C chloroplastic/mitochondrial (Arabidopsis thaliana OX%3D3702)	contig1019	794470	797833
gene	EFW9900007741	Similar to At1g48100: Polygalacturonase At1g48100 (Arabidopsis thaliana OX%3D3702)	contig1019	797824	800506
gene	EFW9900007742	Similar to HAT: Zinc finger BED domain-containing protein DAYSLEEPER (Arabidopsis thaliana OX%3D3702)	contig1019	849677	858102
